City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.15,82,100,7.36,PN,1731258204
1,jinghong,21.991,100.7341,18.96,93,11,1.36,CN,1731258025
2,taulaga,-11.0553,-171.0883,28.19,75,95,7.05,AS,1731258206
3,bethel,41.3712,-73.414,12.74,52,0,4.12,US,1731257924
4,gaspe,48.8334,-64.4819,5.12,45,20,5.14,CA,1731258189
5,constantia,44.1833,28.65,7.38,77,99,9.38,RO,1731258209
6,tsiombe,-25.3,45.4833,23.7,83,85,0.86,MG,1731258210
7,berezovyy,51.6667,135.7,-3.48,58,55,3.45,RU,1731258211
8,iskateley,67.6803,53.1512,-10.41,87,15,2.73,RU,1731258212
9,port mathurin,-19.6833,63.4167,24.35,81,90,7.85,MU,1731258213
10,abepura,-2.6333,140.5833,24.45,94,40,0.51,ID,1731258214
11,nagqu,31.5,92.0,-1.5,42,48,2.28,CN,1731258215
12,shelbyville,35.4834,-86.4603,20.06,73,20,6.17,US,1731258216
13,jamestown,42.097,-79.2353,9.45,81,100,4.12,US,1731257919
14,garissa,-0.4536,39.6401,32.15,44,66,5.04,KE,1731258219
15,port-aux-francais,-49.35,70.2167,4.39,81,39,8.85,TF,1731258221
16,kodiak,57.79,-152.4072,4.05,95,100,13.43,US,1731258222
17,isafjordur,66.0755,-23.124,5.02,70,100,9.26,IS,1731258223
18,walvis bay,-22.9575,14.5053,20.53,60,74,7.72,,1731258224
19,zhanjiang,21.2815,110.3427,23.07,76,96,2.17,CN,1731258112
20,waitangi,-43.9535,-176.5597,12.12,96,78,1.79,NZ,1731258226
21,hammerfest,70.6634,23.6821,7.25,81,75,6.17,NO,1731258227
22,idri,27.5,13.2667,21.16,29,99,2.22,LY,1731258228
23,ripky,51.801,31.0838,3.27,90,17,2.37,UA,1731258229
24,margaret river,-33.95,115.0667,9.74,92,14,2.68,AU,1731258230
25,mejit,10.2753,170.8646,28.28,73,14,8.46,MH,1731258231
26,ta`u,-14.2336,-169.5144,27.19,83,100,8.66,AS,1731258232
27,schonkirchen,54.3333,10.2333,7.29,87,100,3.09,DE,1731258233
28,port alfred,-33.5906,26.891,15.66,97,98,4.35,ZA,1731258234
29,la'ie,21.6477,-157.9253,24.5,79,17,1.79,US,1731258235
